YEAR;MONTH;DAY;TMIN;TMAX;PRCP
2010;08;23;  264;  150;    0
2010;08;24;NaN;NaN;    0
2010;08;25;  297;  156;    0
2010;08;26;NaN;NaN;  432
2010;08;28;NaN;NaN;   64
2010;08;29;  280;  153;  188
2010;08;30;NaN;NaN;    0
2010;08;31;  254;  154;    0
2010;10;01;  185;NaN;NaN
2010;10;02;   56;NaN;NaN
2010;10;03;   13;NaN;NaN
2010;10;04;  175;NaN;NaN
2010;10;05;    0;  270;  140
2010;10;06;  277;NaN;NaN
2010;10;07;    0;  281;  129
2010;10;08;  345;NaN;NaN
2010;10;09;  391;NaN;NaN
2010;10;10;  353;NaN;NaN
2010;10;11;   23;NaN;NaN
2010;10;12;    0;NaN;NaN
2010;10;14;  119;  295;  130
2010;10;15;    0;  287;  105
2010;10;17;   48;NaN;NaN
2010;10;18;   10;NaN;NaN
2010;10;19;    0;NaN;NaN
2010;10;20;  361;NaN;NaN
2010;10;21;    0;NaN;NaN
2010;10;22;    0;NaN;NaN
2010;10;23;   15;NaN;NaN
2010;10;24;  147;NaN;NaN
2010;10;25;   18;NaN;NaN
2010;10;26;    0;NaN;NaN
2010;10;27;    0;NaN;NaN
2010;10;28;    0;  312;  150
2010;10;29;    0;NaN;NaN
2010;10;30;    0;NaN;NaN
2010;11;01;    0;NaN;NaN
2010;11;02;    0;  313;  163
2010;11;04;    0;  272;  120
2010;11;05;    0;  263;   79
2010;11;06;    0;NaN;NaN
2010;11;07;    0;NaN;NaN
2010;11;08;    0;NaN;NaN
2010;11;09;    0;NaN;NaN
2010;11;10;    0;NaN;NaN
2010;11;11;    0;NaN;NaN
2010;11;12;    0;NaN;NaN
2010;11;13;    0;NaN;NaN
2010;11;14;    0;NaN;NaN
2010;11;15;    0;NaN;NaN
2010;11;16;    0;NaN;NaN
2010;11;17;    0;NaN;NaN
2010;11;18;    0;NaN;NaN
2010;11;19;    0;NaN;NaN
2010;11;20;    0;NaN;NaN
2010;11;21;    0;NaN;NaN
2010;11;22;    0;NaN;NaN
2010;11;23;    0;NaN;NaN
2010;11;26;    0;  281;  121
2010;11;27;    0;  277;  142
2010;11;28;    0;NaN;NaN
2010;11;29;    0;NaN;NaN
2010;11;30;    0;NaN;NaN
2010;11;31;    0;NaN;NaN
2010;12;01;    0;  299;  138
2010;12;02;    0;NaN;NaN
2010;12;04;    0;NaN;NaN
2010;12;05;    0;NaN;NaN
2010;12;06;    0;  278;  105
2010;12;08;    0;NaN;NaN
2010;12;09;    0;NaN;NaN
2010;12;10;    0;NaN;NaN
2010;12;11;    0;NaN;NaN
2010;12;12;    0;NaN;NaN
2010;12;13;    0;NaN;NaN
2010;12;16;    0;NaN;NaN
2010;12;17;    0;NaN;NaN
2010;12;18;    0;NaN;NaN
2010;12;19;    0;NaN;NaN
2010;12;22;    0;NaN;NaN
2010;12;23;    0;NaN;NaN
2010;12;24;    0;NaN;NaN
2010;12;25;    0;NaN;NaN
2010;12;26;    0;NaN;NaN
2010;12;27;    0;NaN;NaN
2010;12;30;    0;NaN;NaN
